Player,Team,Rank
"Tua Tagovailoa","MIA","57"
"Bryce Young","CAR","59"
"Geno Smith","LV","67"
"Michael Penix Jr.","ATL","68"
"Matthew Stafford","LAR","69"
"Cam Ward","TEN","79"
"Sam Darnold","SEA","80"
"Aaron Rodgers","PIT","98"
"Daniel Jones","IND","103"
"Josh Downs","IND","111"
"Jacory Croskey-Merritt","WAS","122"
"Jake Ferguson","DAL","125"
"Russell Wilson","NYG","127"
"Christian Kirk","HOU","134"
"Braelon Allen","NYJ","139"
"Anthony Richardson Sr.","IND","140"
"Marvin Mims Jr.","DEN","143"
"Cedric Tillman","CLE","144"
"Luther Burden III","CHI","145"
"Hunter Henry","NE","147"
"Rashod Bateman","BAL","150"
"Ray Davis","BUF","151"
"Jerome Ford","CLE","155"
"Nick Chubb","HOU","156"
"Joe Flacco","CLE","160"
"Keenan Allen","LAC","162"
"Dylan Sampson","CLE","163"
"Wan'Dale Robinson","NYG","164"
"Romeo Doubs","GB","165"
"DeMario Douglas","NE","166"
"Zach Ertz","WAS","168"
"Tyler Shough","NO","172"
"Rico Dowdle","CAR","173"
"Joshua Palmer","BUF","174"
"Kyle Williams","NE","176"
"Tre' Harris","LAC","177"
"Brenton Strange","JAC","178"
"Jalen Coker","CAR","179"
"Quentin Johnston","LAC","180"
"Chig Okonkwo","TEN","181"
"Ollie Gordon II","MIA","182"
"DeAndre Hopkins","BAL","183"
"Blake Corum","LAR","184"
"Roschon Johnson","CHI","185"
"Woody Marks","HOU","186"
"Mike Gesicki","CIN","187"
"Cade Otton","TB","189"
"Alec Pierce","IND","191"
"Isaiah Likely","BAL","192"
"Michael Wilson","ARI","193"
"Jaxson Dart","NYG","194"
"Mason Taylor","NYJ","195"
"Jaylen Wright","MIA","196"
"Darius Slayton","NYG","197"
"Adonai Mitchell","IND","198"
"Will Shipley","PHI","199"
"Elic Ayomanor","TEN","200"
"Jaylin Noel","HOU","201"
"Pat Bryant","DEN","203"
"Justice Hill","BAL","204"
"Andrei Iosivas","CIN","205"
"Kendre Miller","NO","206"
"DJ Giddens","IND","207"
"Kyle Monangai","CHI","208"
"Kareem Hunt","KC","209"
"Chris Rodriguez Jr.","WAS","210"
"Dalton Schultz","HOU","211"
"Calvin Austin III","PIT","212"
"Dontayvion Wicks","GB","213"
"Ja'Tavion Sanders","CAR","214"
"Tyler Lockett","TEN","215"
"Jalen McMillan","TB","216"
"Juwan Johnson","NO","217"
"Keaton Mitchell","BAL","218"
"MarShawn Lloyd","GB","219"
"Elijah Arroyo","SEA","220"
"Tory Horton","SEA","221"
"Tahj Brooks","CIN","222"
"Jalen Royals","KC","223"
"Roman Wilson","PIT","224"
"Dameon Pierce","HOU","225"
"Brashard Smith","KC","226"
"Dyami Brown","JAC","227"
"Miles Sanders","DAL","228"
"Devaughn Vele","NO","229"
"Dont'e Thornton Jr.","LV","230"
"Jaleel McLaughlin","DEN","231"
"Malik Washington","MIA","232"
"Harold Fannin Jr.","CLE","233"
"Isaac TeSlaa","DET","234"
"Cole Kmet","CHI","235"
"Jarquez Hunter","LAR","236"
"Brandin Cooks","NO","237"
"Theo Johnson","NYG","238"
"Devin Neal","NO","239"
"Sean Tucker","TB","240"
"Elijah Moore","BUF","241"
"Jalen Tolbert","DAL","242"
"Raheem Mostert","LV","243"
"Kayshon Boutte","NE","244"
"Amari Cooper","LV","245"
"Trevor Etienne","CAR","246"
"Kenneth Gainwell","PIT","247"
"Noah Gray","KC","248"
"Devin Singletary","NYG","250"
"Antonio Gibson","NE","251"
"Tre Tucker","LV","253"
"Ty Johnson","BUF","254"
"Darren Waller","MIA","255"
"Jalen Nailor","MIN","256"
"Isaiah Davis","NYJ","257"
"Parker Washington","JAC","258"
"Tim Patrick","JAC","259"
"Luke McCaffrey","WAS","260"
