Player,Team,Position,Upside Score,Floor Score,Risk Profile,Overall Grade,Overall Grade N,Domain ADP,Domain ADP N,DIFF
Brock Bowers,LV,TE,10,10,1,10.00,10,18,10,0
CeeDee Lamb,DAL,WR,10,10,2,9.67,10,4,10,0
Amon-Ra St. Brown,DET,WR,10,10,2,9.67,10,9,10,0
Bijan Robinson,ATL,RB,9.6,9.4,1.25,9.58,10,3,10,0
Josh Allen,BUF,QB,10,10,2.75,9.42,10,38,9,-1
Ja'Marr Chase,CIN,WR,10,10,3,9.33,10,1,10,0
Jahmyr Gibbs,DET,RB,10,10,3.5,9.17,10,2,10,0
Lamar Jackson,BAL,QB,9.6,10,4,8.87,10,36,9,-1
Derrick Henry,BAL,RB,9.4,9.4,3.25,8.85,10,12,10,0
Trey McBride,ARI,TE,9.4,9,3.25,8.72,10,27,9,-1
Malik Nabers,NYG,WR,9,10,4,8.67,10,7,10,0
Ashton Jeanty,LV,RB,10,8,3,8.67,10,10,10,0
Brian Thomas,JAX,WR,9,7,1,8.67,10,14,10,0
Bo Nix,DEN,QB,7.8,8.6,1.75,8.55,10,93,6,-4
Sam LaPorta,DET,TE,8.4,8.8,2.75,8.48,10,63,7,-3
Baker Mayfield,TB,QB,8.6,8.4,2.75,8.42,10,79,7,-3
Bucky Irving,TB,RB,8.4,6.8,1,8.40,10,19,10,0
Garrett Wilson,NYJ,WR,6.8,9,1.75,8.35,10,31,9,-1
Drake London,ATL,WR,9,7.6,2.75,8.28,10,16,10,0
Patrick Mahomes,KC,QB,8,8.6,2.75,8.28,10,77,7,-3
Jayden Daniels,WAS,QB,9.4,7.2,3,8.20,9,41,9,0
Kyren Williams,LAR,RB,9.6,10,6.25,8.12,9,25,9,0
Saquon Barkley,PHI,RB,10,10,6.75,8.08,9,5,10,1
Ladd McConkey,LAC,WR,8,8,2.75,8.08,9,22,9,0
Jaxon Smith-Njigba,SEA,WR,9,5,1,8.00,9,20,10,1
Breece Hall,NYJ,RB,9.4,6,3,7.80,9,34,9,0
Jared Goff,DET,QB,7.2,8,3,7.73,9,109,5,-4
Terry McLaurin,WAS,WR,7.4,8,3.25,7.72,9,37,9,0
Puka Nacua,LAR,WR,9,9,6,7.67,9,8,10,1
DJ Moore,CHI,WR,7,7.2,2.25,7.65,9,43,8,-1
Jalen Hurts,PHI,QB,8.6,9,5.75,7.62,9,55,8,-1
Justin Jefferson,MIN,WR,10,9.2,7.5,7.57,9,6,10,1
Jonnu Smith,MIA,TE,7.4,7,2.75,7.55,9,117,5,-4
A.J. Brown,PHI,WR,9,8.8,6.25,7.52,9,17,10,1
Jordan Addison,MIN,WR,7.8,7,3.25,7.52,9,59,8,-1
George Kittle,SF,TE,9.6,7.8,6,7.47,9,44,8,-1
Courtland Sutton,DEN,WR,7,7,3,7.33,9,49,8,-1
Alvin Kamara,NO,RB,8,9.6,6.75,7.28,9,29,9,0
Calvin Ridley,TEN,WR,7,5.8,2,7.27,9,64,7,-2
Caleb Williams,CHI,QB,8,4,1.25,7.25,9,103,6,-3
Marvin Harrison,ARI,WR,8,4.8,2.25,7.18,9,23,9,0
Joe Mixon,HOU,RB,8,9,6.75,7.08,8,50,8,0
Travis Kelce,KC,TE,8,7,4.75,7.08,8,89,6,-2
Xavier Worthy,KC,WR,8,3.2,1,7.07,8,47,8,0
Tony Pollard,TEN,RB,6.4,8,4.25,7.05,8,91,6,-2
Tyreek Hill,MIA,WR,10,7,7,7.00,8,28,9,1
Omarion Hampton,LAC,RB,9,5,4,7.00,8,32,9,1
Drake Maye,NE,QB,9,5,4,7.00,8,102,6,-2
Josh Jacobs,GB,RB,8.6,8.6,7.25,6.98,8,21,9,1
Zay Flowers,BAL,WR,5.6,5.8,1.75,6.88,8,65,7,-1
Nico Collins,HOU,WR,8.6,9,8,6.87,8,13,10,2
Davante Adams,LAR,WR,8,7.8,6.5,6.77,8,35,9,1
Rome Odunze,CHI,WR,8,2.2,1,6.73,8,45,8,0
Devon Achane,MIA,RB,9.6,6,6.5,6.70,8,15,10,2
Chase Brown,CIN,RB,8,7,6,6.67,8,26,9,1
Jayden Reed,GB,WR,8,4,3,6.67,8,78,7,-1
Tyler Warren,IND,TE,9,5,5,6.67,8,101,6,-2
Najee Harris,LAC,RB,4.6,6.4,2,6.67,8,122,5,-3
Jordan Love,GB,QB,7,7.6,5.75,6.62,8,124,5,-3
Christian McCaffrey,SF,RB,10,8.4,9.75,6.55,8,11,10,2
Brock Purdy,SF,QB,6.4,7,4.75,6.55,8,94,6,-2
James Cook,BUF,RB,8,4,3.5,6.50,7,51,8,1
Michael Penix,ATL,QB,7,3,1.5,6.50,7,169,3,-4
Chuba Hubbard,CAR,RB,7,5,4,6.33,7,46,8,1
TreVeyon Henderson,NE,RB,8,5,5,6.33,7,52,8,1
Kaleb Johnson,PIT,RB,8,5,5,6.33,7,58,8,1
C.J. Stroud,HOU,QB,7,6,5,6.33,7,131,4,-3
Jakobi Meyers,LV,WR,6.4,8,6.5,6.30,7,83,7,0
