Rank,Player,Team,POS,Sleeper
1,Ja'Marr Chase,CIN,WR1,1
2,Bijan Robinson,ATL,RB1,3
3,Saquon Barkley,PHI,RB2,2
4,Jahmyr Gibbs,DET,RB3,5
5,Justin Jefferson,MIN,WR2,4
6,CeeDee Lamb,DAL,WR3,6
7,Puka Nacua,LAR,WR4,7
8,Amon-Ra St. Brown,DET,WR5,8
9,Malik Nabers,NYG,WR6,9
10,Ashton Jeanty,LV,RB4,11
11,Christian McCaffrey,SF,RB5,14
12,Derrick Henry,BAL,RB6,10
13,Nico Collins,HOU,WR7,12
14,Brian Thomas Jr.,JAC,WR8,13
15,De'Von Achane,MIA,RB7,16
16,Brock Bowers,LV,TE1,15
17,Bucky Irving,TB,RB8,17
18,Josh Jacobs,GB,RB9,20
19,Drake London,ATL,WR9,18
20,A.J. Brown,PHI,WR10,19
21,Jonathan Taylor,IND,RB10,23
22,Chase Brown,CIN,RB11,28
23,Josh Allen,BUF,QB1,22
24,Lamar Jackson,BAL,QB2,25
25,Ladd McConkey,LAC,WR11,21
26,Trey McBride,ARI,TE2,24
27,Kyren Williams,LAR,RB12,27
28,Tyreek Hill,MIA,WR12,29
29,Jayden Daniels,WAS,QB3,30
30,Jaxon Smith-Njigba,SEA,WR13,26
31,Breece Hall,NYJ,RB13,33
32,Tee Higgins,CIN,WR14,31
33,James Cook,BUF,RB14,35
34,Garrett Wilson,NYJ,WR15,32
35,Omarion Hampton,LAC,RB15,39
36,Joe Burrow,CIN,QB4,43
37,Alvin Kamara,NO,RB16,44
38,Marvin Harrison Jr.,ARI,WR16,36
39,George Kittle,SF,TE3,38
40,Jalen Hurts,PHI,QB5,40
41,Davante Adams,LAR,WR17,42
42,Terry McLaurin,WAS,WR18,34
43,Kenneth Walker III,SEA,RB17,45
44,Mike Evans,TB,WR19,37
45,Chuba Hubbard,CAR,RB18,47
46,DJ Moore,CHI,WR20,48
47,Rashee Rice,KC,WR21,41
48,James Conner,ARI,RB19,51
49,DK Metcalf,PIT,WR22,49
50,Courtland Sutton,DEN,WR23,50
51,TreVeyon Henderson,NE,RB20,63
52,DeVonta Smith,PHI,WR24,54
53,RJ Harvey,DEN,RB21,58
54,Tetairoa McMillan,CAR,WR25,60
55,David Montgomery,DET,RB22,55
56,Sam LaPorta,DET,TE4,52
57,Joe Mixon,HOU,RB23,46
58,Patrick Mahomes II,KC,QB6,64
59,D'Andre Swift,CHI,RB24,75
60,Xavier Worthy,KC,WR26,56
61,Jameson Williams,DET,WR27,57
62,Zay Flowers,BAL,WR28,53
63,Isiah Pacheco,KC,RB25,62
64,Aaron Jones Sr.,MIN,RB26,67
65,George Pickens,DAL,WR29,61
66,Calvin Ridley,TEN,WR30,77
67,T.J. Hockenson,MIN,TE5,59
68,Tony Pollard,TEN,RB27,73
69,Travis Hunter,JAC,WR31,65
70,Kaleb Johnson,PIT,RB28,79
71,Jerry Jeudy,CLE,WR32,71
72,Travis Kelce,KC,TE6,76
73,Baker Mayfield,TB,QB7,74
74,Jaylen Waddle,MIA,WR33,68
75,Chris Olave,NO,WR34,69
76,Chris Godwin,TB,WR35,72
77,Tyrone Tracy Jr.,NYG,RB29,80
78,Jordan Addison,MIN,WR36,70
79,Bo Nix,DEN,QB8,85
80,Rome Odunze,CHI,WR37,78
81,Brian Robinson Jr.,WAS,RB30,81
82,Jaylen Warren,PIT,RB31,87
83,Deebo Samuel Sr.,WAS,WR38,88
84,Mark Andrews,BAL,TE7,82
85,Stefon Diggs,NE,WR39,94
86,Cooper Kupp,SEA,WR40,92
87,Evan Engram,DEN,TE8,91
88,Quinshon Judkins,CLE,RB32,66
89,Jakobi Meyers,LV,WR41,84
90,Travis Etienne Jr.,JAC,RB33,90
91,Kyler Murray,ARI,QB9,96
92,Matthew Golden,GB,WR42,100
93,Khalil Shakir,BUF,WR43,83
94,Ricky Pearsall,SF,WR44,97
95,Jauan Jennings,SF,WR45,102
96,Javonte Williams,DAL,RB34,104
97,Jared Goff,DET,QB10,98
98,Jordan Mason,MIN,RB35,116
99,David Njoku,CLE,TE9,99
100,Zach Charbonnet,SEA,RB36,108
101,Cam Skattebo,NYG,RB37,106
102,Jayden Reed,GB,WR46,95
103,Najee Harris,LAC,RB38,89
104,Tyler Warren,IND,TE10,101
105,Dak Prescott,DAL,QB11,121
106,Caleb Williams,CHI,QB12,115
107,Rhamondre Stevenson,NE,RB39,105
108,Emeka Egbuka,TB,WR47,117
109,Tyjae Spears,TEN,RB40,112
110,Josh Downs,IND,WR48,103
111,Colston Loveland,CHI,TE11,120
112,Justin Herbert,LAC,QB13,109
113,Brock Purdy,SF,QB14,111
114,Jonnu Smith,PIT,TE12,86
115,Brandon Aiyuk,SF,WR49,93
116,J.K. Dobbins,DEN,RB41,132
117,Michael Pittman Jr.,IND,WR50,110
