Player Name,Position,Matchup Light,Offense Light,Vegas Light
Ja'Marr Chase,WR,GREEN,GREEN,GREEN
Saquon Barkley,RB,RED,GREEN,YELLOW
Bijan Robinson,RB,RED,GREEN,YELLOW
Justin Jefferson,WR,GREEN,GREEN,GREEN
Jahmyr Gibbs,RB,GREEN,GREEN,GREEN
CeeDee Lamb,WR,YELLOW,GREEN,GREEN
Puka Nacua,WR,RED,GREEN,YELLOW
Ashton Jeanty,RB,RED,YELLOW,YELLOW
Amon-Ra St. Brown,WR,RED,GREEN,GREEN
Malik Nabers,WR,GREEN,YELLOW,RED
Christian McCaffrey,RB,GREEN,RED,YELLOW
Derrick Henry,RB,RED,GREEN,GREEN
Nico Collins,WR,GREEN,YELLOW,YELLOW
Brian Thomas,WR,YELLOW,YELLOW,YELLOW
Devon Achane,RB,GREEN,YELLOW,YELLOW
Brock Bowers,TE,RED,GREEN,YELLOW
A.J. Brown,WR,RED,YELLOW,YELLOW
Drake London,WR,GREEN,GREEN,YELLOW
Jonathan Taylor,RB,YELLOW,YELLOW,YELLOW
Bucky Irving,RB,RED,GREEN,RED
Josh Jacobs,RB,YELLOW,GREEN,GREEN
Ladd McConkey,WR,RED,YELLOW,YELLOW
Trey McBride,TE,GREEN,GREEN,GREEN
Josh Allen,QB,YELLOW,GREEN,GREEN
Tee Higgins,WR,GREEN,GREEN,GREEN
Lamar Jackson,QB,YELLOW,GREEN,GREEN
Kyren Williams,RB,YELLOW,YELLOW,YELLOW
Chase Brown,RB,GREEN,YELLOW,GREEN
Jaxon Smith-Njigba,WR,YELLOW,YELLOW,RED
Tyreek Hill,WR,YELLOW,RED,YELLOW
Jayden Daniels,QB,RED,GREEN,YELLOW
Garrett Wilson,WR,YELLOW,YELLOW,RED
Terry McLaurin,WR,RED,YELLOW,YELLOW
Breece Hall,RB,GREEN,YELLOW,RED
James Cook,RB,YELLOW,GREEN,GREEN
Davante Adams,WR,RED,GREEN,YELLOW
Marvin Harrison,WR,YELLOW,RED,GREEN
Mike Evans,WR,YELLOW,GREEN,RED
Jalen Hurts,QB,YELLOW,GREEN,YELLOW
George Kittle,TE,YELLOW,GREEN,YELLOW
Rashee Rice,WR,RED,YELLOW,YELLOW
Joe Mixon,RB,YELLOW,YELLOW,YELLOW
Joe Burrow,QB,GREEN,GREEN,GREEN
Omarion Hampton,RB,YELLOW,YELLOW,YELLOW
Kenneth Walker,RB,YELLOW,YELLOW,RED
Chuba Hubbard,RB,YELLOW,YELLOW,RED
Alvin Kamara,RB,GREEN,YELLOW,RED
DJ Moore,WR,GREEN,YELLOW,YELLOW
DK Metcalf,WR,YELLOW,RED,YELLOW
DeVonta Smith,WR,RED,YELLOW,YELLOW
Xavier Worthy,WR,RED,YELLOW,YELLOW
Courtland Sutton,WR,YELLOW,GREEN,YELLOW
Travis Hunter,WR,YELLOW,YELLOW,YELLOW
Zay Flowers,WR,GREEN,RED,GREEN
Sam LaPorta,TE,YELLOW,YELLOW,GREEN
James Conner,RB,GREEN,GREEN,GREEN
RJ Harvey,RB,YELLOW,YELLOW,YELLOW
David Montgomery,RB,GREEN,GREEN,GREEN
Jameson Williams,WR,RED,GREEN,GREEN
Tetairoa McMillan,WR,YELLOW,YELLOW,RED
George Pickens,WR,YELLOW,GREEN,GREEN
T.J. Hockenson,TE,YELLOW,YELLOW,GREEN
Patrick Mahomes,QB,RED,YELLOW,YELLOW
Jaylen Waddle,WR,YELLOW,RED,YELLOW
Quinshon Judkins,RB,RED,RED,RED
TreVeyon Henderson,RB,YELLOW,RED,YELLOW
Calvin Ridley,WR,YELLOW,RED,RED
Chris Olave,WR,RED,RED,RED
Aaron Jones,RB,YELLOW,YELLOW,GREEN
Jordan Addison,WR,GREEN,GREEN,GREEN
Baker Mayfield,QB,YELLOW,GREEN,RED
