Player,Rank,Player,Pos,Position Rank,Position,Value,1 QB Bonus,SF Bonus,TE Rank,TE Intermitent value,TE Value
Ja'Marr Chase,1,Ja'Marr Chase,WR,1,WR,105.0890129,0,0,,,
Saquon Barkley,2,Saquon Barkley,RB,1,RB,102.1787317,0,0,,,
Jahmyr Gibbs,3,Jahmyr Gibbs,RB,2,RB,99.34904637,0,0,,,
Justin Jefferson,4,Justin Jefferson,WR,2,WR,96.59772485,0,0,,,
CeeDee Lamb,5,CeeDee Lamb,WR,3,WR,93.92259702,0,0,,,
Bijan Robinson,6,Bijan Robinson,RB,3,RB,91.3215528,0,0,,,
Puka Nacua,7,Puka Nacua,WR,4,WR,88.79254057,0,0,,,
Malik Nabers,8,Malik Nabers,WR,5,WR,86.33356551,0,0,,,
Amon-Ra St. Brown,9,Amon-Ra St. Brown,WR,6,WR,83.94268804,0,0,,,
Christian McCaffrey,10,Christian McCaffrey,RB,4,RB,81.61802231,0,0,,,
Derrick Henry,11,Derrick Henry,RB,5,RB,79.35773467,0,0,,,
Ashton Jeanty,12,Ashton Jeanty,RB,6,RB,77.16004228,0,0,,,
Drake London,13,Drake London,WR,7,WR,75.02321166,0,0,,,
Nico Collins,14,Nico Collins,WR,8,WR,72.94555733,0,0,,,
Brian Thomas,15,Brian Thomas,WR,9,WR,70.92544049,0,0,,,
Devon Achane,16,Devon Achane,RB,7,RB,68.96126773,0,0,,,
Brock Bowers,17,Brock Bowers,TE,1,TE,67.05148976,0,0,1,10,10
A.J. Brown,18,A.J. Brown,WR,10,WR,65.1946002,0,0,,,
Ladd McConkey,19,Ladd McConkey,WR,11,WR,63.3891344,0,0,,,
Rashee Rice,20,Rashee Rice,WR,12,WR,61.63366823,0,0,,,
Bucky Irving,21,Bucky Irving,RB,8,RB,59.92681704,0,0,,,
Tyreek Hill,22,Tyreek Hill,WR,13,WR,58.26723452,0,0,,,
Jonathan Taylor,23,Jonathan Taylor,RB,9,RB,56.65361162,0,0,,,
Tee Higgins,24,Tee Higgins,WR,14,WR,55.08467557,0,0,,,
Josh Jacobs,25,Josh Jacobs,RB,10,RB,53.55918882,0,0,,,
Jaxon Smith-Njigba,26,Jaxon Smith-Njigba,WR,15,WR,52.07594813,0,0,,,
Kyren Williams,27,Kyren Williams,RB,11,RB,50.63378354,0,0,,,
Trey McBride,28,Trey McBride,TE,2,TE,49.23155751,0,0,2,9,9
Marvin Harrison,29,Marvin Harrison,WR,16,WR,47.86816402,0,0,,,
Chase Brown,30,Chase Brown,RB,12,RB,46.54252764,0,0,,,
Garrett Wilson,31,Garrett Wilson,WR,17,WR,45.25360276,0,0,,,
Davante Adams,32,Davante Adams,WR,18,WR,44.00037271,0,0,,,
Lamar Jackson,33,Lamar Jackson,QB,1,QB,42.78184896,0,0,,,
Terry McLaurin,34,Terry McLaurin,WR,19,WR,41.59707038,0,0,,,
Josh Allen,35,Josh Allen,QB,2,QB,40.44510246,0,0,,,
Breece Hall,36,Breece Hall,RB,13,RB,39.32503654,0,0,,,
Omarion Hampton,37,Omarion Hampton,RB,14,RB,38.23598916,0,0,,,
Mike Evans,38,Mike Evans,WR,20,WR,37.17710129,0,0,,,
Alvin Kamara,39,Alvin Kamara,RB,15,RB,36.14753772,0,0,,,
Jayden Daniels,40,Jayden Daniels,QB,3,QB,35.14648636,0,0,,,
Tetairoa McMillan,41,Tetairoa McMillan,WR,21,WR,34.1731576,0,0,,,
DJ Moore,42,DJ Moore,WR,22,WR,33.2267837,0,0,,,
George Kittle,43,George Kittle,TE,3,TE,32.3066182,0,0,3,8,8
DK Metcalf,44,DK Metcalf,WR,23,WR,31.41193529,0,0,,,
Rome Odunze,45,Rome Odunze,WR,24,WR,30.54202927,0,0,,,
Xavier Worthy,46,Xavier Worthy,WR,25,WR,29.69621398,0,0,,,
Chris Godwin,47,Chris Godwin,WR,26,WR,28.87382227,0,0,,,
DeVonta Smith,48,DeVonta Smith,WR,27,WR,28.07420545,0,0,,,
Travis Hunter,49,Travis Hunter,WR,28,WR,27.29673281,0,0,,,
Jameson Williams,50,Jameson Williams,WR,29,WR,26.54079109,0,0,,,
Courtland Sutton,51,Courtland Sutton,WR,30,WR,25.80578404,0,0,,,
Chuba Hubbard,52,Chuba Hubbard,RB,16,RB,25.0911319,0,0,,,
Jalen Hurts,53,Jalen Hurts,QB,4,QB,24.39627097,0,0,,,
George Pickens,54,George Pickens,WR,31,WR,23.72065315,0,0,,,
Jordan Addison,55,Jordan Addison,WR,32,WR,23.06374556,0,0,,,
TreVeyon Henderson,56,TreVeyon Henderson,RB,17,RB,22.42503002,0,0,,,
James Cook,57,James Cook,RB,18,RB,21.80400274,0,0,,,
Zay Flowers,58,Zay Flowers,WR,33,WR,21.20017388,0,0,,,
